book,name,ingredient,unit,amount
Imbibe,Ode To Viceroy,blended scotch whiskey,oz,1.5
Imbibe,Ode To Viceroy,falernum,oz,0.5
Imbibe,Ode To Viceroy,lime juice,oz,0.5
Imbibe,Ode To Viceroy,ginger syrup,oz,0.5
Imbibe,Ode To Viceroy,lime wheel,garnish,1
Imbibe,Montegomatica,overproof rum,oz,1.5
Imbibe,Montegomatica,Fernet Branca,oz,1
Imbibe,Montegomatica,falernum,oz,1
Imbibe,Montegomatica,lime juice,oz,1
Imbibe,Montegomatica,mint sprig,garnish,1
Imbibe,Montegomatica,blackstrap rum,teaspoon,1
Imbibe,Chartreuse Swizzle,Green Chartreuse,oz,1.5
Imbibe,Chartreuse Swizzle,pineapple juice,oz,1
Imbibe,Chartreuse Swizzle,lime juice,oz,0.75
Imbibe,Chartreuse Swizzle,falernum,oz,0.5
Imbibe,Chartreuse Swizzle,nutmeg,garnish,1
Imbibe,Chartreuse Swizzle,mint sprig,garnish,1
Imbibe,Landing Gear Fizz,Punt e Mes vermouth,oz,1
Imbibe,Landing Gear Fizz,falernum,oz,1
Imbibe,Landing Gear Fizz,lime juice,oz,0.75
Imbibe,Landing Gear Fizz,sherry,oz,0.5
Imbibe,Landing Gear Fizz,lime wheel,garnish,1
Imbibe,Landing Gear Fizz,mint sprig,garnish,1
Imbibe,Jungle Bird,blackstrap rum,oz,1.5
Imbibe,Jungle Bird,pineapple juice,oz,1.5
Imbibe,Jungle Bird,Campari,oz,0.75
Imbibe,Jungle Bird,lime juice,oz,0.5
Imbibe,Jungle Bird,simple syrup,oz,0.5
Imbibe,Jungle Bird,pineapple wedge,garnish,1
Goslings,Goslings Swizzle,aged rum,oz,1
Goslings,Goslings Swizzle,dark rum,oz,1
Goslings,Goslings Swizzle,orange juice,oz,1
Goslings,Goslings Swizzle,pineapple juice,oz,1
Goslings,Goslings Swizzle,falernum,oz,0.5
Goslings,Goslings Swizzle,Angostura bitters,dashes,3
Goslings,Goslings Swizzle,mint sprig,garnish,1
Goslings,Goslings Swizzle,orange peel,garnish,1
Dale DeGroff,Mojito,white rum,oz,1.5
Dale DeGroff,Mojito,mint leaves,each,10
Dale DeGroff,Mojito,simple syrup,oz,0.75
Dale DeGroff,Mojito,lime juice,oz,0.75
Dale DeGroff,Mojito,club soda,oz,1.5
Dale DeGroff,Mojito,mint sprig,garnish,1
Imbibe,Baker Street Swizzle,absinthe,oz,1.5
Imbibe,Baker Street Swizzle,falernum,oz,0.75
Imbibe,Baker Street Swizzle,Angostura bitters,oz,0.5
Imbibe,Baker Street Swizzle,lemon juice,oz,0.5
Imbibe,Baker Street Swizzle,mint leaves,each,7
Imbibe,Baker Street Swizzle,mint sprig,garnish,1
Imbibe,Esplanade Swizzle,mezcal,oz,1
Imbibe,Esplanade Swizzle,sherry,oz,1
Imbibe,Esplanade Swizzle,lime juice,oz,0.75
Imbibe,Esplanade Swizzle,falernum,oz,0.5
Imbibe,Esplanade Swizzle,ginger syrup,oz,0.5
Imbibe,Esplanade Swizzle,mint sprig,garnish,1
Punch,Planter's Punch,dark rum,oz,1.5
Punch,Planter's Punch,pineapple juice,oz,1
Punch,Planter's Punch,lime juice,oz,0.5
Punch,Planter's Punch,orange juice,oz,0.5
Punch,Planter's Punch,simple syrup,oz,0.25
Punch,Planter's Punch,pineapple wedge,garnish,1
Punch,Planter's Punch,orange wheel,garnish,1
Punch,Planter's Punch,mint sprig,garnish,1
Saveur,Cuba Kola,lime juice,oz,2
Saveur,Cuba Kola,overproof rum,oz,1.5
Saveur,Cuba Kola,orange juice,oz,1
Saveur,Cuba Kola,dark rum,oz,1
Saveur,Cuba Kola,honey syrup,oz,0.75
Saveur,Cuba Kola,Angostura bitters,dash,1
Saveur,Cuba Kola,absinthe,dashes,6
Saveur,Cuba Kola,pineapple wedge,garnish,1
Saveur,Cuba Kola,cherry,garnish,1
Brooklyn Bartender,100 Year-Old Cigar,aged rum,oz,1.75
Brooklyn Bartender,100 Year-Old Cigar,Cynar,oz,0.5
Brooklyn Bartender,100 Year-Old Cigar,Benedictine,oz,0.5
Brooklyn Bartender,100 Year-Old Cigar,Islay scotch whiskey,oz,0.25
Brooklyn Bartender,100 Year-Old Cigar,Angostura bitters,dash,1
Brooklyn Bartender,100 Year-Old Cigar,absinthe,rinse,1
Saveur,Mai Tai,dark rum,oz,1
Saveur,Mai Tai,aged rum,oz,1
