stat,value,year
2UDwolfEn,1504.3,25
2UDwolfRe,2253.7,25
2UDwolfFa,5.2,25
grassNum,662.0,26
grassEn,163.6,26
grassRe,129.2,26
grassFa,2.3,26
KDFwolfNum,16.0,26
KDFwolfEn,241.9,26
KDFwolfRe,547.8,26
KDFwolfFa,5.7,26
008rabbitNum,279.0,26
008rabbitEn,34.2,26
008rabbitRe,46.4,26
008rabbitFa,6.0,26
KDFrabbitNum,61.0,26
KDFrabbitEn,209.5,26
KDFrabbitRe,348.1,26
KDFrabbitFa,6.8,26
008wolfNum,5.0,26
008wolfEn,848.0,26
008wolfRe,1042.1,26
008wolfFa,5.1,26
2UDrabbitNum,458.0,26
2UDrabbitEn,58.3,26
2UDrabbitRe,64.9,26
2UDrabbitFa,6.6,26
2UDwolfNum,3.0,26
2UDwolfEn,1527.9,26
2UDwolfRe,2253.7,26
2UDwolfFa,5.2,26
grassNum,616.0,27
grassEn,168.3,27
grassRe,129.4,27
grassFa,2.3,27
KDFwolfNum,16.0,27
KDFwolfEn,264.6,27
KDFwolfRe,547.8,27
KDFwolfFa,5.7,27
008rabbitNum,285.0,27
008rabbitEn,33.9,27
008rabbitRe,46.5,27
008rabbitFa,5.9,27
KDFrabbitNum,66.0,27
KDFrabbitEn,179.3,27
KDFrabbitRe,348.1,27
KDFrabbitFa,6.7,27
008wolfNum,5.0,27
008wolfEn,874.3,27
008wolfRe,1042.1,27
008wolfFa,5.1,27
2UDrabbitNum,494.0,27
2UDrabbitEn,56.3,27
2UDrabbitRe,65.0,27
2UDrabbitFa,6.6,27
2UDwolfNum,3.0,27
2UDwolfEn,1542.3,27
2UDwolfRe,2253.7,27
2UDwolfFa,5.2,27
grassNum,592.0,28
grassEn,167.7,28
grassRe,129.4,28
grassFa,2.2,28
KDFwolfNum,17.0,28
KDFwolfEn,256.8,28
KDFwolfRe,547.2,28
KDFwolfFa,5.3,28
008rabbitNum,278.0,28
008rabbitEn,35.6,28
008rabbitRe,46.4,28
008rabbitFa,5.9,28
KDFrabbitNum,67.0,28
KDFrabbitEn,179.4,28
KDFrabbitRe,348.0,28
KDFrabbitFa,6.6,28
008wolfNum,6.0,28
008wolfEn,809.2,28
